Price,Close,High,Low,Open,Volume
Ticker,SPCE,SPCE,SPCE,SPCE,SPCE
Date,,,,,
2021-06-16,707.4000244140625,723.0999755859375,684.2000122070312,692.0,639845
2021-06-17,746.4000244140625,750.4000244140625,702.0,702.4000244140625,817585
2021-06-18,736.0,750.7999877929688,719.0,746.2000122070312,531850
2021-06-21,720.4000244140625,734.0,696.5999755859375,725.4000244140625,541255
2021-06-22,788.4000244140625,796.0,712.4000244140625,716.4000244140625,1403635
2021-06-23,816.4000244140625,833.0,775.02001953125,779.2000122070312,1040290
2021-06-24,805.2000122070312,831.5999755859375,785.2000122070312,822.0,669410
2021-06-25,1118.199951171875,1145.800048828125,917.4000244140625,956.2000122070312,13067485
2021-06-28,1096.800048828125,1150.199951171875,1049.5999755859375,1143.0,5478725
2021-06-29,940.4000244140625,1072.0,919.4000244140625,1046.0,3715425
2021-06-30,920.0,959.6199951171875,861.6199951171875,888.4000244140625,3210580
2021-07-01,863.7999877929688,928.5999755859375,863.7999877929688,920.0,1353840
2021-07-02,898.7999877929688,1088.0,880.7999877929688,1064.5999755859375,6772560
2021-07-06,926.2000122070312,987.7999877929688,884.219970703125,903.0,3366385
2021-07-07,898.4000244140625,935.2000122070312,860.4000244140625,928.5999755859375,1634505
2021-07-08,1053.800048828125,1055.199951171875,861.0,876.5999755859375,4373025
2021-07-09,984.0,1052.5999755859375,969.2000122070312,1018.7999877929688,3129725
2021-07-12,813.7999877929688,1015.0,796.2000122070312,991.0,6824275
2021-07-13,755.2000122070312,831.2000122070312,750.2000122070312,806.7999877929688,4075060
2021-07-14,661.4000244140625,759.4000244140625,656.2000122070312,745.4000244140625,4262665
2021-07-15,634.7999877929688,688.7999877929688,626.4000244140625,660.5999755859375,3171610
2021-07-16,604.0,666.0,601.4000244140625,650.7999877929688,2439535
2021-07-19,648.0,659.4000244140625,572.5999755859375,589.0,3493340
2021-07-20,640.5999755859375,647.4000244140625,590.7999877929688,621.7999877929688,2182510
2021-07-21,667.4000244140625,678.0,622.5999755859375,625.2000122070312,1478585
2021-07-22,616.4000244140625,673.7999877929688,612.5999755859375,662.5999755859375,1125095
2021-07-23,591.5999755859375,623.4000244140625,577.2000122070312,610.0,992245
2021-07-26,612.4000244140625,623.0,583.7999877929688,591.5999755859375,770050
2021-07-27,605.0,619.5999755859375,569.7999877929688,607.4000244140625,669040
2021-07-28,623.7999877929688,634.9600219726562,603.0,609.4000244140625,644705
2021-07-29,615.5999755859375,640.2000122070312,609.4000244140625,623.2000122070312,504735
2021-07-30,599.7999877929688,624.7999877929688,591.5999755859375,616.4000244140625,464150
2021-08-02,637.4000244140625,656.0,589.0,596.4000244140625,781925
2021-08-03,628.0,635.0,596.7999877929688,628.7999877929688,585315
2021-08-04,615.5999755859375,652.4000244140625,610.2000122070312,626.4000244140625,564845
2021-08-05,630.5999755859375,643.2000122070312,612.0,620.0,683185
2021-08-06,667.4000244140625,712.3599853515625,628.5999755859375,635.7999877929688,1936170
2021-08-09,704.2000122070312,710.7999877929688,656.7999877929688,660.0,906295
2021-08-10,626.5999755859375,696.0,620.0,695.0,1357870
2021-08-11,547.2000122070312,600.0,530.0,597.0,1945355
2021-08-12,518.7999877929688,548.5,510.20001220703125,535.7999877929688,1143570
2021-08-13,507.3999938964844,525.9000244140625,501.0,504.6000061035156,1070895
2021-08-16,506.6000061035156,531.5999755859375,504.3999938964844,511.79998779296875,888200
2021-08-17,504.79998779296875,513.4000244140625,491.0,500.3999938964844,579150
2021-08-18,505.0,519.5999755859375,492.3999938964844,503.79998779296875,587620
2021-08-19,485.0,513.5599975585938,482.20001220703125,505.20001220703125,556975
2021-08-20,490.6000061035156,495.3999938964844,479.79998779296875,482.3999938964844,452965
2021-08-23,508.79998779296875,516.4000244140625,490.6000061035156,492.0,544885
2021-08-24,529.5999755859375,533.0,508.6000061035156,511.6000061035156,635505
2021-08-25,525.2000122070312,540.7999877929688,515.0399780273438,534.0,521260
2021-08-26,509.0,534.1599731445312,504.0,522.0,506220
2021-08-27,521.0,527.5999755859375,504.29998779296875,510.79998779296875,428915
2021-08-30,497.6000061035156,523.7999877929688,492.3999938964844,519.4000244140625,645605
2021-08-31,542.2000122070312,557.2000122070312,515.0,519.0,1421475
2021-09-01,535.7999877929688,546.5999755859375,533.0,541.2000122070312,579655
2021-09-02,519.7999877929688,575.4000244140625,497.0,521.5999755859375,1985770
2021-09-03,485.6000061035156,510.79998779296875,476.3999938964844,505.79998779296875,1556145
2021-09-07,492.20001220703125,499.0,476.3999938964844,484.20001220703125,687745
2021-09-08,509.0,520.0999755859375,491.0,493.0,823975
2021-09-09,513.5999755859375,515.5999755859375,493.0,507.6000061035156,516520
2021-09-10,503.20001220703125,536.5999755859375,498.6000061035156,514.2000122070312,497490
2021-09-13,485.20001220703125,497.3999938964844,471.6000061035156,489.0,629870
2021-09-14,480.0,502.8999938964844,476.3999938964844,479.79998779296875,544300
2021-09-15,478.20001220703125,484.3999938964844,461.260009765625,484.3999938964844,619055
2021-09-16,489.79998779296875,496.0,480.0,485.6000061035156,591375
2021-09-17,528.4000244140625,528.7999877929688,491.6000061035156,491.6000061035156,1149865
2021-09-20,495.0,520.5999755859375,485.5,508.6000061035156,659855
2021-09-21,503.79998779296875,511.3999938964844,494.0,500.0,409075
2021-09-22,510.6000061035156,516.7000122070312,502.0,505.79998779296875,302400
2021-09-23,517.0,519.4000244140625,506.3999938964844,515.0,329705
2021-09-24,500.79998779296875,517.8599853515625,496.20001220703125,517.0,394355
2021-09-27,500.0,511.79998779296875,488.6199951171875,502.20001220703125,383940
2021-09-28,467.79998779296875,498.79998779296875,457.3999938964844,498.20001220703125,823235
2021-09-29,451.20001220703125,474.6000061035156,450.6000061035156,470.79998779296875,564260
2021-09-30,506.0,530.0,478.260009765625,482.6000061035156,2330635
2021-10-01,476.6000061035156,510.3999938964844,469.79998779296875,501.3999938964844,843405
2021-10-04,454.6000061035156,474.3999938964844,450.79998779296875,472.3999938964844,542475
